fundRUNSeries,netPatrimony,providedFlow,rescuedFlow
8932-KB,16064839742.789042,137269832.92859876,20563214.7969654
8932-KB-APV,8102650955.715069,76213335.67780223,29419362.846047718
8932-KD,968106263.4884416,10743372.067892225,6587124.060122867
8932-KD-APV,18798510.796460178,411983.02977849107,395356.8042358945
8932-KI,26664781452.873974,388072516.8479741,316183939.2870014
8932-KI-APV,0.0,0.0,0.0
8933-8APV,2858293089.830137,14775080.209393656,10499280.821756115
8933-8CLASICA,33633359331.580822,41571267.97483904,49601647.90379974
8933-8D,5104795471.849315,9061478.943634871,6215726.009324946
8933-8E,0.0,0.0,0.0
8933-8G,1923594168.950685,2799214.2625639094,2529844.0113937045
8933-8INSTITUCIO,15913437529.09863,23709137.350285612,66406105.953793004
8933-8K,0.0,0.0,0.0
8933-8LARGOPLAZO,1191811003.9150684,769756.644581073,1072853.8666810282
8933-8LIQUIDEZ,34526121539.29315,85428406.4944214,84101915.48316114
8934-6A,1193634722.9166667,892789.2253686084,4093302.875512066
8934-6B,69821195.21153846,102447.67465231281,158768.46933611258
8934-6BCH,262587434209.0742,743818681.369757,566153846.18395
8934-6BPLUS,313568140.76373625,824175.8245826166,862748.6015842936
8934-6D,505440328.25,88055.56700003584,3584097.830016149
8934-6E,37248059.13888889,28.121801738333332,11718521.313448919
8934-6L,2127999436.5792682,22816425.21574596,18756959.270727195
8934-6M,1405095474.25,4444778.475520121,3415748.9853579574
8935-4APV,1228035.9260273972,37078.88754875959,0.0
8935-4CLASICA,103731058.6520548,215579.67408720482,211799.30414548205
8935-4D,0.0,0.0,0.0
8935-4E,0.0,0.0,0.0
8935-4G,0.0,0.0,0.0
8935-4INSTITUCIO,222381834.369863,0.0,73751.5208138889
8935-4K,355747735.65753424,0.0,211884.93157069525
8935-4LARGOPLAZO,4526394.112328767,5224.657719730494,597.7794475600274
8935-4LIQUIDEZ,211289109.13150686,2333846.1649281345,1782185.3830893962
8937-0APV,49580677.13150685,13104.18068275104,38244.971260795806
8937-0CLASICA,63180126.75068493,107650.3918033264,58642.818558346815
8937-0D,0.0,0.0,0.0
8937-0E,0.0,0.0,0.0
8937-0G,0.0,0.0,0.0
